2017/11/06	       BOT	MYR	   6.075	   7.645
2017/11/06	       BOT	CNY	   4.456	   4.618
2017/11/06	CT	 USD	  29.964	  30.364
2017/11/06	CT	 JPY	   .2613	   .2683
2017/11/06	CT	 CNY	   4.387	   4.593
2017/11/06	CT	 HKD	   3.796	   3.936
2017/11/06	CT	 EUR	  34.525	  35.525
2017/11/06	CT	 AUD	     nan	     nan
2017/11/06	CT	 GBP	     nan	     nan
2017/11/06	CT	 CAD	     nan	     nan
2017/11/06	CT	 NZD	     nan	     nan
2017/11/06	CT	 ZAR	     nan	     nan
2017/11/06	CT	 SGD	     nan	     nan
2017/11/06	CT	 CHF	     nan	     nan
2017/11/06	CT	 SEK	     nan	     nan
2017/11/06	CT	 THB	     nan	     nan
2017/11/06	CT	 IDR	     nan	     nan
2017/11/06	CT	 INR	     nan	     nan
2017/11/06	CT	 MYR	     nan	     nan
2017/11/06	CT	 PHP	     nan	     nan
2017/11/06	CT	 VND	     nan	     nan
2017/11/06	CT	 KRW	     nan	     nan
2017/11/06	      ES	USD	   30.11	   30.21
2017/11/06	      ES	HKD	   3.836	   3.896
2017/11/06	      ES	JPY	  0.2628	  0.2668
2017/11/06	      ES	EUR	   34.83	   35.23
2017/11/06	      ES	GBP	   39.54	   39.94
2017/11/06	      ES	AUD	   23.09	   23.29
2017/11/06	      ES	CAD	   23.64	   23.82
2017/11/06	      ES	CHF	   30.12	   30.32
2017/11/06	      ES	SGD	   22.06	   22.22
2017/11/06	      ES	THB	   0.891	   0.931
2017/11/06	      ES	NZD	    20.8	   21.04
2017/11/06	      ES	SEK	   3.564	   3.624
2017/11/06	      ES	ZAR	   2.079	   2.199
2017/11/06	      ES	CNY	   4.529	   4.579
2017/11/06	      ES	MXN	   1.525	   1.645
2017/11/06	      HSBC	USD	  29.862	  30.462
2017/11/06	      HSBC	EUR	34.54044	 35.5203
2017/11/06	      HSBC	GBP	38.89664	40.58338
2017/11/06	      HSBC	AUD	22.86538	23.53599
2017/11/06	      HSBC	NZD	       -	       -
2017/11/06	      HSBC	HKD	  3.7387	 3.99226
2017/11/06	      HSBC	CAD	       -	       -
2017/11/06	      HSBC	SGD	       -	       -
2017/11/06	      HSBC	CHF	       -	       -
2017/11/06	      HSBC	JPY	0.2591038	0.2705241
2017/11/06	      HSBC	SEK	       -	       -
2017/11/06	      HSBC	ZAR	       -	       -
2017/11/06	      HSBC	CNY	 4.43097	 4.67666
2017/11/07	       BOT	USD	  29.815	  30.357
2017/11/07	       BOT	HKD	   3.715	    3.91
2017/11/07	       BOT	GBP	    38.6	   40.53
2017/11/07	       BOT	AUD	   22.82	   23.48
2017/11/07	       BOT	CAD	   23.31	   24.05
2017/11/07	       BOT	SGD	   21.61	   22.39
2017/11/07	       BOT	CHF	   29.47	   30.53
2017/11/07	       BOT	JPY	  0.2559	  0.2669
2017/11/07	       BOT	ZAR	       -	       -
2017/11/07	       BOT	SEK	     3.2	    3.71
2017/11/07	       BOT	NZD	   20.55	   21.18
2017/11/07	       BOT	THB	  0.8061	  0.9491
2017/11/07	       BOT	PHP	  0.5386	  0.6716
2017/11/07	       BOT	IDR	 0.00188	 0.00258
2017/11/07	       BOT	EUR	   34.26	   35.41
2017/11/07	       BOT	KRW	 0.02538	 0.02928
2017/11/07	       BOT	VND	 0.00096	 0.00146
2017/11/07	       BOT	MYR	    6.07	    7.64
2017/11/07	       BOT	CNY	   4.451	   4.613
2017/11/07	CT	 USD	   29.94	    30.4
2017/11/07	CT	 JPY	   .2605	   .2687
2017/11/07	CT	 CNY	   4.366	    4.59
2017/11/07	CT	 HKD	   3.787	   3.945
2017/11/07	CT	 EUR	  34.399	  35.529
2017/11/07	CT	 AUD	     nan	     nan
2017/11/07	CT	 GBP	     nan	     nan
2017/11/07	CT	 CAD	     nan	     nan
2017/11/07	CT	 NZD	     nan	     nan
2017/11/07	CT	 ZAR	     nan	     nan
2017/11/07	CT	 SGD	     nan	     nan
2017/11/07	CT	 CHF	     nan	     nan
2017/11/07	CT	 SEK	     nan	     nan
2017/11/07	CT	 THB	     nan	     nan
2017/11/07	CT	 IDR	     nan	     nan
2017/11/07	CT	 INR	     nan	     nan
2017/11/07	CT	 MYR	     nan	     nan
2017/11/07	CT	 PHP	     nan	     nan
2017/11/07	CT	 VND	     nan	     nan
2017/11/07	CT	 KRW	     nan	     nan
2017/11/07	      ES	USD	   30.12	   30.22
2017/11/07	      ES	HKD	   3.836	   3.896
2017/11/07	      ES	JPY	  0.2621	  0.2661
2017/11/07	      ES	EUR	   34.73	   35.13
2017/11/07	      ES	GBP	    39.4	    39.8
2017/11/07	      ES	AUD	   22.98	   23.18
2017/11/07	      ES	CAD	   23.52	    23.7
2017/11/07	      ES	CHF	    30.1	    30.3
2017/11/07	      ES	SGD	   22.05	   22.21
2017/11/07	      ES	THB	   0.891	   0.931
2017/11/07	      ES	NZD	   20.72	   20.96
2017/11/07	      ES	SEK	    3.55	    3.61
2017/11/07	      ES	ZAR	    2.07	    2.19
2017/11/07	      ES	CNY	   4.523	   4.573
2017/11/07	      ES	MXN	   1.522	   1.642
2017/11/07	      HSBC	USD	  29.868	  30.468
2017/11/07	      HSBC	EUR	34.46759	35.44599
2017/11/07	      HSBC	GBP	38.85709	 40.5425
2017/11/07	      HSBC	AUD	 22.7884	23.45842
2017/11/07	      HSBC	NZD	       -	       -
2017/11/07	      HSBC	HKD	 3.73975	 3.99336
2017/11/07	      HSBC	CAD	       -	       -
2017/11/07	      HSBC	SGD	       -	       -
2017/11/07	      HSBC	CHF	       -	       -
2017/11/07	      HSBC	JPY	0.2586073	0.2700237
2017/11/07	      HSBC	SEK	       -	       -
2017/11/07	      HSBC	ZAR	       -	       -
2017/11/07	      HSBC	CNY	 4.42579	  4.6715
2017/11/08	       BOT	USD	   29.84	  30.382
2017/11/08	       BOT	HKD	   3.718	   3.913
2017/11/08	       BOT	GBP	   38.52	   40.45
2017/11/08	       BOT	AUD	   22.83	   23.49
2017/11/08	       BOT	CAD	   23.32	   24.06
2017/11/08	       BOT	SGD	   21.65	   22.43
2017/11/08	       BOT	CHF	   29.49	   30.55
2017/11/08	       BOT	JPY	  0.2563	  0.2673
2017/11/08	       BOT	ZAR	       -	       -
2017/11/08	       BOT	SEK	    3.21	    3.72
2017/11/08	       BOT	NZD	   20.63	   21.26
2017/11/08	       BOT	THB	  0.8084	  0.9514
2017/11/08	       BOT	PHP	  0.5405	  0.6735
2017/11/08	       BOT	IDR	 0.00188	 0.00258
2017/11/08	       BOT	EUR	   34.29	   35.44
2017/11/08	       BOT	KRW	 0.02535	 0.02925
2017/11/08	       BOT	VND	 0.00096	 0.00146
2017/11/08	       BOT	MYR	   6.077	   7.647
2017/11/08	       BOT	CNY	   4.452	   4.614
2017/11/08	CT	 USD	   29.99	   30.39
2017/11/08	CT	 JPY	   .2613	   .2683
2017/11/08	CT	 CNY	   4.382	   4.588
2017/11/08	CT	 HKD	   3.803	   3.943
2017/11/08	CT	 EUR	  34.477	  35.477
2017/11/08	CT	 AUD	     nan	     nan
2017/11/08	CT	 GBP	     nan	     nan
2017/11/08	CT	 CAD	     nan	     nan
2017/11/08	CT	 NZD	     nan	     nan
